TransactionID,CustomerID,Date,ProductCategory,Amount,Region,Quantity,Margin,LTV,CAC,Churn
TX1020,CUST122,2026-01-19,SaaS Subscriptions,410.51,Asia-Pacific,4,0.396,18452.92,143.55,1
TX1021,CUST131,2026-03-04,Hardware Support,494.36,Latin America,2,0.342,20013.59,85.43,0
TX1022,CUST104,2026-06-22,Electronics,1803.04,North America,4,0.628,16020.24,60.93,0
TX1023,CUST135,2026-04-25,SaaS Subscriptions,1130.165,Latin America,2,0.425,20449.92,142.33,1
TX1024,CUST136,2026-01-26,Electronics,425.5,North America,1,0.717,20839.48,66.63,0
TX1025,CUST114,2026-04-13,Electronics,1804.99,Europe,4,0.301,17356.17,142.65,1
TX1026,CUST119,2026-04-19,Hardware Support,471.23,Europe,2,0.434,18337.48,107.92,0
TX1027,CUST121,2026-01-15,Electronics,2266.91,Latin America,5,0.714,18462.45,55.69,0
TX1028,CUST112,2026-01-18,Electronics,1772.97,Europe,4,0.354,17256.11,74.62,0
TX1029,CUST140,2026-01-21,Hardware Support,742.71,Asia-Pacific,3,0.392,21386.48,73.87,0
TX1030,CUST120,2026-04-28,Professional Services,1127.8,North America,1,0.506,18499.38,149.61,1
TX1031,CUST114,2026-05-10,Professional Services,3822.27,Latin America,3,0.696,17551.71,86.95,0
TX1032,CUST135,2026-06-30,Professional Services,4937.956249999999,North America,5,0.435,20615.36,143.89,1
TX1033,CUST108,2026-01-28,SaaS Subscriptions,286.53,Asia-Pacific,3,0.572,16587.04,70.36,0
TX1034,CUST117,2026-05-10,Hardware Support,270.56,Asia-Pacific,1,0.342,17819.43,77.67,1
TX1035,CUST109,2026-06-13,Professional Services,4653.5,Europe,4,0.548,16621.07,50.97,1
TX1036,CUST110,2026-05-20,Electronics,2259.4,Asia-Pacific,5,0.549,16771.91,54.18,0
TX1037,CUST103,2026-04-02,SaaS Subscriptions,79.6,Europe,1,0.459,15773.95,137.47,0
TX1038,CUST110,2026-03-02,SaaS Subscriptions,382.85,Europe,4,0.311,16894.63,83.22,0
TX1039,CUST116,2026-03-10,SaaS Subscriptions,397.95,North America,4,0.692,17843.44,72.24,0
TX1040,CUST130,2026-03-31,Professional Services,2488.62,Europe,2,0.311,19677.25,82.83,0
TX1041,CUST118,2026-03-31,Hardware Support,254.28,Asia-Pacific,1,0.352,18188.16,67.86,0
TX1042,CUST117,2026-01-10,Electronics,1344.8,Latin America,3,0.628,17775.47,110.62,0
TX1043,CUST125,2026-05-28,SaaS Subscriptions,96.02,Asia-Pacific,1,0.619,18850.68,142.56,1
TX1044,CUST113,2026-04-04,Hardware Support,713.04,North America,3,0.58,17315.35,62.46,0
TX1045,CUST133,2026-03-21,Hardware Support,982.0,Asia-Pacific,4,0.614,20271.76,69.18,0
TX1046,CUST125,2026-06-23,SaaS Subscriptions,391.44,Asia-Pacific,4,0.547,18850.16,78.69,0
TX1047,CUST138,2026-06-05,Professional Services,4926.85,Latin America,4,0.499,20885.48,97.32,0
TX1048,CUST111,2026-06-18,Electronics,2265.46,Asia-Pacific,5,0.599,16997.7,59.34,0
TX1049,CUST116,2026-06-22,Professional Services,2188.44,Europe,2,0.366,17518.49,148.39,1
TX1050,CUST105,2026-04-27,Hardware Support,4937.956249999999,Europe,4,0.522,15947.59,115.61,1
TX1051,CUST107,2026-04-19,SaaS Subscriptions,491.19,Europe,5,0.509,16372.96,141.75,1
TX1052,CUST109,2026-04-29,Professional Services,4937.956249999999,Latin America,5,0.667,16806.81,92.67,0
TX1053,CUST129,2026-02-10,Hardware Support,765.29,Latin America,3,0.638,19785.95,77.73,0
TX1054,CUST132,2026-06-10,SaaS Subscriptions,406.21,Asia-Pacific,4,0.335,20014.29,77.17,0
TX1055,CUST135,2026-01-21,SaaS Subscriptions,207.22,Europe,2,0.472,20411.12,71.4,0
TX1056,CUST122,2026-05-19,Hardware Support,229.02,Latin America,1,0.393,18568.06,140.48,1
TX1057,CUST102,2026-05-28,Hardware Support,242.27,Latin America,1,0.724,15519.45,89.0,0
TX1058,CUST127,2026-05-18,SaaS Subscriptions,201.28,Latin America,2,0.423,19344.26,88.89,0
TX1059,CUST126,2026-02-12,Hardware Support,1274.39,Europe,5,0.54,19362.77,109.19,0
TX1060,CUST106,2026-06-14,Hardware Support,988.02,Europe,4,0.382,16104.06,82.74,0
TX1061,CUST122,2026-04-08,Professional Services,3577.72,Latin America,3,0.676,18588.12,124.9,1
TX1062,CUST123,2026-02-27,Electronics,400.21,North America,1,0.727,18629.74,52.04,0
TX1063,CUST109,2026-05-02,Electronics,1746.17,Europe,4,0.615,16756.76,66.78,0
TX1064,CUST108,2026-02-11,Professional Services,4937.956249999999,North America,5,0.312,16424.78,117.73,0
TX1065,CUST126,2026-02-20,Electronics,511.03,Europe,1,0.614,19120.63,118.43,0
TX1066,CUST137,2026-01-11,Professional Services,3591.36,Latin America,3,0.331,20909.02,51.27,0
TX1067,CUST132,2026-01-28,Hardware Support,1130.165,Asia-Pacific,4,0.618,20074.19,123.38,0
TX1068,CUST118,2026-06-07,Hardware Support,1009.04,Latin America,4,0.672,18036.99,82.23,0
TX1069,CUST106,2026-03-13,Hardware Support,983.87,Europe,4,0.556,16267.28,83.64,0
TX1070,CUST121,2026-02-16,Hardware Support,759.03,Europe,3,0.659,18386.14,138.03,1
TX1071,CUST118,2026-05-23,Electronics,519.21,Europe,1,0.409,17962.57,105.52,0
TX1072,CUST131,2026-06-15,Hardware Support,249.1,Latin America,1,0.342,19838.64,119.18,0
TX1073,CUST138,2026-04-05,Hardware Support,1039.12,Asia-Pacific,4,0.748,21020.16,85.18,0
TX1074,CUST120,2026-03-06,SaaS Subscriptions,172.06,North America,2,0.442,18397.15,145.09,1
TX1075,CUST113,2026-02-25,Hardware Support,1270.55,Asia-Pacific,5,0.739,17259.85,78.3,0
TX1076,CUST113,2026-03-17,SaaS Subscriptions,198.86,Asia-Pacific,2,0.436,17333.21,62.66,1
TX1077,CUST104,2026-05-22,Professional Services,4764.12,Europe,4,0.346,15704.91,78.43,0
TX1078,CUST122,2026-02-17,Electronics,1804.13,Asia-Pacific,4,0.351,18426.14,99.17,0
TX1079,CUST104,2026-02-08,SaaS Subscriptions,79.32,Asia-Pacific,1,0.747,15747.38,126.44,1
TX1080,CUST140,2026-02-27,Hardware Support,994.51,Latin America,4,0.434,21335.41,92.88,0
TX1081,CUST104,2026-06-06,Electronics,916.07,Europe,2,0.419,15732.47,73.99,0
TX1082,CUST111,2026-01-01,Hardware Support,1286.95,Latin America,5,0.511,16763.06,78.81,0
TX1083,CUST130,2026-01-19,SaaS Subscriptions,489.87,Asia-Pacific,5,0.598,19973.47,92.51,0
TX1084,CUST110,2026-03-10,SaaS Subscriptions,91.0,North America,1,0.375,16723.04,124.9,1
TX1085,CUST119,2026-04-23,Electronics,1327.42,Latin America,3,0.615,18327.07,100.05,0
TX1086,CUST106,2026-06-03,Electronics,1391.19,Latin America,3,0.572,16010.35,72.89,0
TX1087,CUST137,2026-05-31,Electronics,2264.79,Asia-Pacific,5,0.318,20952.51,97.05,0
TX1088,CUST118,2026-02-16,Hardware Support,1130.165,Latin America,1,0.512,17963.34,82.11,0
TX1089,CUST111,2026-03-26,Hardware Support,762.83,Latin America,3,0.598,16910.18,126.05,1
TX1090,CUST106,2026-03-22,Professional Services,1211.65,Asia-Pacific,1,0.737,16161.67,101.46,0
TX1091,CUST135,2026-04-29,Hardware Support,524.22,North America,2,0.533,20599.05,99.85,0
TX1092,CUST104,2026-02-22,Professional Services,3515.75,Europe,3,0.497,15979.3,62.14,0
TX1093,CUST139,2026-03-03,SaaS Subscriptions,491.76,Asia-Pacific,5,0.306,21113.2,72.47,0
TX1094,CUST108,2026-04-29,Electronics,1782.36,Europe,4,0.72,16416.74,120.54,1
TX1095,CUST131,2026-05-01,SaaS Subscriptions,480.51,Latin America,5,0.365,19826.24,109.94,0
TX1096,CUST109,2026-01-18,Professional Services,3635.53,Latin America,3,0.72,16653.1,132.05,1
TX1097,CUST120,2026-05-31,Hardware Support,1006.53,Europe,4,0.542,18238.05,105.19,0
TX1098,CUST130,2026-03-24,SaaS Subscriptions,495.05,Europe,5,0.472,19942.41,91.08,0
TX1099,CUST131,2026-06-30,Hardware Support,494.14,Latin America,2,0.523,19764.81,100.23,0
TX1100,CUST107,2026-04-23,Electronics,386.31,Latin America,1,0.625,16313.99,115.48,0
TX1101,CUST131,2026-03-09,Professional Services,1149.52,Latin America,1,0.683,20090.94,135.93,1
TX1102,CUST121,2026-06-10,Hardware Support,1241.43,North America,5,0.331,18502.46,142.09,0
TX1103,CUST106,2026-04-22,Electronics,1763.9,North America,4,0.375,16119.79,52.89,0
TX1104,CUST104,2026-03-17,Professional Services,4780.65,Asia-Pacific,4,0.366,15912.47,106.59,0
TX1105,CUST111,2026-02-14,Electronics,2268.18,Latin America,5,0.607,16949.07,108.32,0
TX1106,CUST117,2026-04-28,Professional Services,4937.956249999999,North America,4,0.706,17921.04,65.8,0
TX1107,CUST123,2026-05-31,Professional Services,3620.95,Latin America,3,0.506,18670.85,149.94,0
TX1108,CUST107,2026-03-02,Hardware Support,1256.44,Asia-Pacific,5,0.433,16429.71,52.19,0
TX1109,CUST126,2026-03-12,Electronics,2246.65,North America,5,0.635,19333.14,140.29,1
TX1110,CUST115,2026-06-05,Hardware Support,2169.75,Europe,2,0.579,17621.11,122.09,1
TX1111,CUST109,2026-06-10,Electronics,1348.81,North America,3,0.655,16463.35,86.49,0
TX1112,CUST119,2026-03-25,Hardware Support,501.51,Europe,2,0.359,18165.76,147.15,1
TX1113,CUST118,2026-02-12,Professional Services,3895.59,Latin America,3,0.636,17935.49,61.52,0
TX1114,CUST110,2026-02-27,Hardware Support,245.19,Asia-Pacific,1,0.656,16605.57,103.66,0
TX1115,CUST117,2026-05-30,Hardware Support,257.54,Asia-Pacific,1,0.604,17838.59,111.95,0
TX1116,CUST121,2026-06-06,SaaS Subscriptions,395.66,North America,4,0.709,18370.88,90.83,0
TX1117,CUST103,2026-03-19,Hardware Support,220.78,North America,1,0.406,15765.02,88.86,0
TX1118,CUST135,2026-04-18,SaaS Subscriptions,110.31,Latin America,1,0.675,20596.26,143.91,1
TX1119,CUST124,2026-02-25,Hardware Support,518.8,Latin America,2,0.685,18739.74,118.57,0
TX1120,CUST123,2026-01-16,Hardware Support,4937.956249999999,Asia-Pacific,2,0.736,18929.6,132.42,1
TX1121,CUST114,2026-06-14,Electronics,1309.08,North America,3,0.41,17250.37,106.46,1
TX1122,CUST136,2026-02-23,SaaS Subscriptions,310.89,Europe,3,0.648,20815.46,109.6,0
TX1123,CUST110,2026-02-03,Professional Services,1031.78,Europe,1,0.597,16610.31,51.49,0
TX1124,CUST116,2026-05-31,Professional Services,2470.42,North America,2,0.419,17550.7,92.1,0
TX1125,CUST105,2026-05-02,Hardware Support,1304.76,Asia-Pacific,5,0.567,16030.8,72.15,0
TX1126,CUST134,2026-03-19,Hardware Support,225.24,North America,1,0.749,20538.92,92.63,0
TX1127,CUST129,2026-01-19,Electronics,2224.52,Asia-Pacific,5,0.367,19500.48,112.43,0
TX1128,CUST121,2026-04-08,Professional Services,4937.956249999999,Latin America,5,0.572,18289.67,120.18,0
TX1129,CUST136,2026-02-25,Hardware Support,487.41,Latin America,2,0.486,20830.97,89.87,0
TX1130,CUST121,2026-04-20,Professional Services,3413.92,Asia-Pacific,3,0.729,18524.73,97.43,1
TX1131,CUST106,2026-01-24,Hardware Support,751.71,North America,3,0.665,16222.55,108.65,0
TX1132,CUST122,2026-06-21,Electronics,1302.2,Latin America,3,0.693,18776.45,92.29,0
TX1133,CUST104,2026-03-15,Professional Services,1256.83,Asia-Pacific,1,0.56,15785.1,115.67,0
TX1134,CUST107,2026-03-31,Professional Services,3489.67,North America,3,0.558,16472.89,134.52,0
TX1135,CUST140,2026-06-07,Electronics,519.75,Asia-Pacific,1,0.381,21381.08,80.9,0
TX1136,CUST101,2026-02-16,SaaS Subscriptions,91.25,Latin America,1,0.364,15503.27,53.07,0
TX1137,CUST114,2026-04-07,Hardware Support,741.95,Latin America,3,0.371,17324.65,82.44,0
TX1138,CUST139,2026-01-22,Electronics,936.61,Europe,2,0.639,20969.9,58.16,0
TX1139,CUST128,2026-05-05,Hardware Support,719.23,Latin America,3,0.397,19504.94,84.52,0
TX1140,CUST138,2026-05-05,Professional Services,2427.3,North America,2,0.478,21039.73,50.77,0
TX1141,CUST114,2026-02-05,Professional Services,3756.86,Asia-Pacific,3,0.354,17398.95,93.07,0
TX1142,CUST135,2026-06-30,SaaS Subscriptions,1130.165,Asia-Pacific,1,0.479,20646.82,93.62,0
TX1143,CUST105,2026-03-22,Hardware Support,1004.62,Latin America,4,0.43,16012.01,146.62,1
TX1144,CUST140,2026-04-28,Professional Services,4831.19,North America,4,0.68,21197.33,108.89,0
TX1145,CUST126,2026-03-21,Professional Services,3693.82,Europe,3,0.651,19030.55,113.32,0
TX1146,CUST113,2026-03-31,Professional Services,2251.57,Europe,2,0.346,17152.39,67.35,0
TX1147,CUST105,2026-02-15,Hardware Support,1216.99,Latin America,5,0.642,16029.56,142.42,1
TX1148,CUST140,2026-03-24,Professional Services,4862.63,Europe,4,0.331,21276.88,80.28,0
TX1149,CUST104,2026-04-01,Electronics,1813.36,Asia-Pacific,4,0.503,15722.76,133.17,1
TX1150,CUST106,2026-06-07,Hardware Support,1256.26,Latin America,5,0.549,16316.73,139.59,1
TX1151,CUST137,2026-06-16,SaaS Subscriptions,498.43,Asia-Pacific,5,0.514,20710.34,56.19,0
TX1152,CUST122,2026-01-22,SaaS Subscriptions,191.27,North America,2,0.618,18796.39,102.41,0
TX1153,CUST124,2026-04-06,Professional Services,4827.87,Latin America,4,0.649,18971.56,55.24,0
TX1154,CUST122,2026-01-17,Hardware Support,4937.956249999999,North America,5,0.605,18513.66,122.37,1
TX1155,CUST139,2026-02-08,Professional Services,4937.956249999999,North America,5,0.599,21316.7,81.02,0
TX1156,CUST126,2026-02-03,Electronics,2333.96,Asia-Pacific,5,0.47,19316.66,131.32,1
TX1157,CUST134,2026-01-24,Hardware Support,261.85,Asia-Pacific,1,0.463,20272.11,71.42,0
TX1158,CUST132,2026-02-19,SaaS Subscriptions,186.21,Europe,2,0.335,20237.77,60.11,0
TX1159,CUST134,2026-01-10,Professional Services,4937.956249999999,Europe,5,0.47,20264.9,133.13,1
TX1160,CUST111,2026-04-23,Electronics,1306.14,Latin America,3,0.604,16845.01,94.42,0
TX1161,CUST129,2026-03-01,SaaS Subscriptions,403.79,Asia-Pacific,4,0.707,19527.61,117.83,0
TX1162,CUST129,2026-04-29,Professional Services,4937.956249999999,Latin America,5,0.537,19836.51,131.69,0
TX1163,CUST109,2026-03-06,Electronics,1313.07,Latin America,3,0.55,16491.04,134.59,0
TX1164,CUST119,2026-01-22,SaaS Subscriptions,405.54,Asia-Pacific,4,0.707,18008.94,93.75,0
TX1165,CUST115,2026-04-26,Professional Services,4849.53,North America,4,0.324,17550.8,73.58,0
TX1166,CUST124,2026-02-27,Electronics,486.99,Asia-Pacific,1,0.678,18959.98,129.14,1
TX1167,CUST119,2026-05-01,SaaS Subscriptions,414.78,Latin America,4,0.577,18312.34,51.9,0
TX1168,CUST110,2026-05-21,Hardware Support,743.87,North America,3,0.407,16648.74,73.84,0
TX1169,CUST140,2026-04-28,Electronics,1766.08,North America,4,0.569,21106.57,101.54,0
TX1170,CUST110,2026-03-16,Hardware Support,1227.76,North America,5,0.459,16828.27,68.73,0
TX1171,CUST134,2026-04-03,Electronics,1763.29,North America,4,0.693,20217.41,88.69,0
TX1172,CUST102,2026-04-02,Electronics,896.53,Asia-Pacific,2,0.63,15651.3,127.15,1
TX1173,CUST122,2026-02-04,Electronics,2265.35,Asia-Pacific,5,0.452,18657.12,133.04,1
TX1174,CUST131,2026-06-11,SaaS Subscriptions,101.74,Europe,1,0.622,20127.44,53.7,0
TX1175,CUST113,2026-01-11,Professional Services,4937.956249999999,Latin America,5,0.479,17376.16,97.34,1
TX1176,CUST113,2026-03-15,Professional Services,3601.56,North America,3,0.423,17369.74,93.7,0
TX1177,CUST129,2026-04-09,Professional Services,4937.956249999999,Europe,4,0.611,19596.94,129.73,1
TX1178,CUST106,2026-04-19,Electronics,2238.09,Latin America,5,0.748,16072.18,79.38,0
TX1179,CUST121,2026-06-19,Professional Services,4937.956249999999,Asia-Pacific,4,0.571,18420.45,118.98,0
TX1180,CUST103,2026-04-01,Hardware Support,1130.165,Asia-Pacific,1,0.334,15805.01,86.33,0
TX1181,CUST111,2026-01-08,SaaS Subscriptions,90.51,Latin America,1,0.357,16844.4,114.52,0
TX1182,CUST137,2026-01-09,SaaS Subscriptions,286.4,Latin America,3,0.467,20955.23,107.39,0
TX1183,CUST126,2026-03-22,Professional Services,1257.9,Europe,1,0.312,19074.42,101.77,0
TX1184,CUST108,2026-03-09,Professional Services,2373.18,Latin America,2,0.748,16414.23,141.65,1
TX1185,CUST108,2026-02-04,Electronics,932.13,Latin America,2,0.704,16478.04,58.78,0
TX1186,CUST121,2026-06-20,Professional Services,4937.956249999999,North America,5,0.544,18606.53,135.14,1
TX1187,CUST112,2026-04-03,SaaS Subscriptions,197.28,North America,2,0.656,16994.69,99.4,0
TX1188,CUST137,2026-04-05,Hardware Support,1228.83,Europe,5,0.698,20676.3,89.82,0
TX1189,CUST131,2026-05-15,Hardware Support,1212.13,Latin America,5,0.333,20138.95,114.23,0
TX1190,CUST134,2026-03-30,SaaS Subscriptions,193.58,Europe,2,0.495,20564.28,55.54,0
TX1191,CUST110,2026-03-19,SaaS Subscriptions,305.48,Europe,3,0.721,16690.19,144.75,1
TX1192,CUST119,2026-01-21,Hardware Support,4937.956249999999,Europe,5,0.424,18200.01,111.44,1
TX1193,CUST111,2026-06-01,SaaS Subscriptions,482.67,Europe,5,0.624,16992.06,134.25,1
TX1194,CUST102,2026-01-21,Electronics,907.79,Asia-Pacific,2,0.645,15566.63,113.9,0
TX1195,CUST135,2026-03-16,Professional Services,2446.24,Latin America,2,0.662,20624.0,79.74,1
TX1196,CUST104,2026-02-10,Hardware Support,977.9,Latin America,4,0.509,15836.08,64.37,0
TX1197,CUST121,2026-03-30,Hardware Support,753.84,Europe,3,0.532,18292.47,74.17,0
TX1198,CUST129,2026-03-05,SaaS Subscriptions,99.58,North America,1,0.431,19603.66,111.54,0
TX1199,CUST111,2026-03-25,Professional Services,2262.84,Europe,2,0.524,16955.89,99.88,0
TX1045,CUST133,2026-03-21,Hardware Support,1130.165,Asia-Pacific,4,0.614,20271.76,69.18,0
TX1112,CUST119,2026-03-25,Hardware Support,1130.165,Europe,2,0.359,18165.76,147.15,1
